date Thu Jul 23 09:38:20.686 am 2015
base hex  timestamps absolute
no internal events logged
// version 8.5.0
   2.436000    SV: 2 0 1 ::ComfortBus::EngineRunningWheel = 0
   2.440804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.441044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.441044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.451440 2  EngineData                          Tx   d 8 17 00 19 04 77 01 EE 02  Length = 1404000 BitCount = 120 ID = 100
   2.452904 2  EngineDataIEEE                      Tx   d 8 17 00 00 00 77 01 00 00  Length = 1428000 BitCount = 122 ID = 102
   2.454128 2  ABSdata                             Tx   d 6 00 00 00 00 23 28  Length = 1188000 BitCount = 102 ID = 201
   2.454824 2  GearBoxInfo                         Tx   d 1 01  Length = 660000 BitCount = 58 ID = 1020
   2.456072 2  NM_Gateway_PowerTrain               Tx   d 6 1A 10 00 00 00 00  Length = 1212000 BitCount = 104 ID = 1306
   2.460804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.461044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.461044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.480804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.481044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.481044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.500000    SV: 2 0 1 ::WiperSystem::Active = 2ee
   2.500000    SV: 2 0 1 ::WiperSystem::Position = 7
   2.500000    SV: 1 0 1 ::PowerTrain::PedalPosition = 4
   2.501440 2  EngineData                          Tx   d 8 1E 00 19 05 77 01 EE 02  Length = 1404000 BitCount = 120 ID = 100
   2.501932    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.501932    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.502916 2  EngineDataIEEE                      Tx   d 8 1E 00 00 00 77 01 00 00  Length = 1440000 BitCount = 123 ID = 102
   2.503720 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.504224    SV: 2 1 1 ::ComfortBus::DashboardTurnIndRightDisplay = None
   2.504224    SV: 2 1 1 ::ComfortBus::DashboardTurnIndLeftDisplay = None
   2.504224    SV: 2 1 1 ::ComfortBus::DashboardWarnIndDisplay = None
   2.504944 2  ABSdata                             Tx   d 6 00 00 00 00 23 28  Length = 1188000 BitCount = 102 ID = 201
   2.505640 2  GearBoxInfo                         Tx   d 1 01  Length = 660000 BitCount = 58 ID = 1020
   2.520804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.521044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.521044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.540804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.541044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.541044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.551440 2  EngineData                          Tx   d 8 24 00 19 06 77 01 EE 02  Length = 1404000 BitCount = 120 ID = 100
   2.552916 2  EngineDataIEEE                      Tx   d 8 24 00 00 00 77 01 00 00  Length = 1440000 BitCount = 123 ID = 102
   2.554140 2  ABSdata                             Tx   d 6 00 00 00 00 23 28  Length = 1188000 BitCount = 102 ID = 201
   2.554836 2  GearBoxInfo                         Tx   d 1 01  Length = 660000 BitCount = 58 ID = 1020
   2.556084 2  NM_Gateway_PowerTrain               Tx   d 6 1A 10 00 00 00 00  Length = 1212000 BitCount = 104 ID = 1306
   2.560804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
